Index,ID,Timestamp,Average of latitude,Average of longitude,status,track_id,Temp,Humidity
1,ZXC098,20200321T010101,-10.8956631,-37.05343751,empty,47,0,0
2,ZXC098,20200321T010102,-10.89603214,-37.0536262,empty,47,0,0
3,ZXC098,20200321T010103,-10.89623005,-37.05379143,empty,47,0,0
4,ZXC098,20200321T010104,-10.89628814,-37.05424197,empty,47,0,0
5,ZXC098,20200321T010105,-10.89635522,-37.0548444,empty,47,0,0
6,ZXC098,20200321T010106,-10.89645068,-37.05537789,empty,47,0,0
7,ZXC098,20200321T010107,-10.89659695,-37.05589775,empty,47,0,0
8,ZXC098,20200321T010108,-10.89672371,-37.05642998,empty,47,0,0
9,ZXC098,20200321T010109,-10.8968518,-37.05699734,empty,47,0,0
10,ZXC098,20200321T010110,-10.89693324,-37.05740121,empty,47,0,0
11,ZXC098,20200321T010111,-10.89695877,-37.05758255,empty,47,0,0
12,ZXC098,20200321T010112,-10.89705685,-37.05775308,empty,47,0,0
13,ZXC098,20200321T010113,-10.8971325,-37.05781614,empty,47,0,0
14,ZXC098,20200321T010114,-10.89717006,-37.05785087,empty,47,0,0
15,ZXC098,20200321T010115,-10.8972716,-37.05793624,empty,47,0,0
16,ZXC098,20200321T010116,-10.89753406,-37.05815127,empty,47,0,0
17,ZXC098,20200321T010117,-10.89784929,-37.05837899,empty,47,0,0
18,ZXC098,20200321T010118,-10.8983372,-37.05815327,empty,47,0,0
19,ZXC098,20200321T010119,-10.89892342,-37.05772666,empty,47,0,0
20,ZXC098,20200321T010120,-10.89958113,-37.05724025,empty,47,0,0
21,ZXC098,20200321T010121,-10.90021957,-37.05681599,empty,47,0,0
22,ZXC098,20200321T010122,-10.90085748,-37.05636098,empty,47,0,0
23,ZXC098,20200321T010123,-10.90131659,-37.05602238,empty,47,0,0
24,ZXC098,20200321T010124,-10.90182536,-37.05564591,empty,47,0,0
25,ZXC098,20200321T010125,-10.90225099,-37.05533884,empty,47,0,0
26,ZXC098,20200321T010126,-10.902561,-37.05512476,empty,47,0,0
27,ZXC098,20200321T010127,-10.90259309,-37.05510169,empty,47,0,0
28,ZXC098,20200321T010128,-10.90259328,-37.05509861,empty,47,0,0
29,ZXC098,20200321T010129,-10.90259267,-37.05509805,empty,47,0,0
30,ZXC098,20200321T010130,-10.9026121,-37.05510122,empty,47,0,0
31,ZXC098,20200321T010131,-10.90261448,-37.05510608,empty,47,0,0
32,ZXC098,20200321T010132,-10.90261121,-37.05510746,empty,47,0,0
33,ZXC098,20200321T010133,-10.90261122,-37.05510735,empty,47,0,0
34,ZXC098,20200321T010134,-10.90261112,-37.0551074,empty,47,0,0
35,ZXC098,20200321T010135,-10.90266121,-37.05507047,empty,47,0,0
36,ZXC098,20200321T010136,-10.90286297,-37.05491172,empty,47,0,0
37,ZXC098,20200321T010137,-10.90308016,-37.0548855,empty,47,0,0
38,ZXC098,20200321T010138,-10.90305039,-37.05523679,empty,47,0,0
39,ZXC098,20200321T010139,-10.90302119,-37.05577409,empty,47,0,0
40,ZXC098,20200321T010140,-10.90301391,-37.05644991,empty,47,0,0
41,ZXC098,20200321T010141,-10.90302219,-37.05688601,empty,47,0,0
42,ZXC098,20200321T010142,-10.90309221,-37.05697072,empty,47,0,0
43,ZXC098,20200321T010143,-10.90327933,-37.0569431,empty,47,0,0
44,ZXC098,20200321T010144,-10.90360731,-37.05696071,empty,47,0,0
45,ZXC098,20200321T010145,-10.90386618,-37.05698096,empty,47,0,0
46,ZXC098,20200321T010146,-10.90403636,-37.05698828,empty,47,0,0
47,ZXC098,20200321T010546,-10.90438941,-37.05698726,empty,47,0,0
48,ZXC098,20200321T010547,-10.90464229,-37.05699391,empty,47,0,0
49,ZXC098,20200321T010548,-10.90497933,-37.05700215,empty,47,0,0
50,ZXC098,20200321T010549,-10.90506907,-37.05700768,empty,47,0,0
51,ZXC098,20200321T010550,-10.90507399,-37.05699603,empty,47,0,0
52,ZXC098,20200321T010551,-10.90506006,-37.05699587,empty,47,0,0
53,ZXC098,20200321T010552,-10.90506347,-37.0570952,empty,47,0,0
54,ZXC098,20200321T010553,-10.90509722,-37.05745983,empty,47,0,0
55,ZXC098,20200321T010554,-10.90516543,-37.05788759,empty,47,0,0
56,ZXC098,20200321T010801,-10.90524676,-37.05809377,empty,47,0,0
57,ZXC098,20200321T010802,-10.90528809,-37.05801303,empty,47,0,0
58,ZXC098,20200321T010803,-10.90527273,-37.0576801,empty,47,0,0
59,ZXC098,20200321T010804,-10.90555751,-37.05759527,empty,47,0,0
60,ZXC098,20200321T010805,-10.90570291,-37.05761265,empty,47,0,0
61,ZXC098,20200321T010806,-10.90571397,-37.0576089,empty,47,0,0
62,ZXC098,20200321T010807,-10.90570924,-37.0576036,empty,47,0,0
63,ZXC098,20200321T010808,-10.90580789,-37.0575922,empty,47,0,0
64,ZXC098,20200321T010809,-10.90607444,-37.05758588,empty,47,0,0
65,ZXC098,20200321T010810,-10.90649098,-37.0575744,empty,47,0,0
66,ZXC098,20200321T010811,-10.90696887,-37.05755404,empty,47,0,0
67,ZXC098,20200321T010812,-10.90755889,-37.05755247,empty,47,0,0
68,ZXC098,20200321T010813,-10.90807263,-37.05754979,empty,47,0,0
69,ZXC098,20200321T010814,-10.90860522,-37.05753466,empty,47,0,0
70,ZXC098,20200321T010815,-10.90920766,-37.0575367,empty,47,0,0
71,ZXC098,20200321T010816,-10.90966537,-37.0575476,empty,47,0,0
72,ZXC098,20200321T010817,-10.90993147,-37.05752628,empty,47,0,0
73,ZXC098,20200321T010818,-10.91005308,-37.05755054,empty,47,0,0
